iter	Passed	Remaining
0	13	7641
1	28	8115
2	51	9731
3	74	10422
4	96	10856
5	119	11206
6	137	10997
7	154	10770
8	175	10902
9	197	11021
10	215	10908
11	238	11024
12	260	11111
13	287	11368
14	310	11417
15	331	11428
16	353	11423
17	373	11399
18	389	11247
19	410	11227
20	430	11181
21	448	11122
22	470	11122
23	491	11126
24	512	11107
25	532	11088
26	552	11043
27	571	10992
28	589	10945
29	605	10841
30	621	10739
31	631	10562
32	648	10488
33	667	10457
34	685	10426
35	704	10392
36	721	10328
37	738	10276
38	749	10147
39	768	10119
40	787	10098
41	807	10098
42	827	10082
43	844	10034
44	862	10010
45	874	9904
46	886	9812
47	906	9805
48	926	9789
49	945	9772
50	964	9756
51	981	9718
52	997	9672
53	1010	9600
54	1029	9582
55	1047	9560
56	1065	9536
57	1082	9500
58	1100	9477
59	1118	9449
60	1133	9402
61	1145	9332
62	1161	9291
63	1178	9260
64	1193	9219
65	1208	9174
66	1223	9127
67	1237	9081
68	1251	9029
69	1265	8988
70	1280	8946
71	1295	8906
72	1311	8874
73	1324	8824
74	1336	8768
75	1349	8721
76	1364	8682
77	1376	8630
78	1389	8584
79	1402	8536
80	1413	8482
81	1425	8430
82	1438	8387
83	1450	8342
84	1463	8298
85	1475	8252
86	1487	8208
87	1499	8160
88	1511	8118
89	1523	8076
90	1534	8024
91	1546	7982
92	1559	7948
93	1571	7907
94	1583	7866
95	1596	7834
96	1607	7790
97	1620	7755
98	1632	7719
99	1647	7693
100	1667	7695
101	1681	7667
102	1696	7641
103	1709	7610
104	1724	7589
105	1741	7572
106	1755	7549
107	1769	7518
108	1785	7500
109	1799	7474
110	1809	7435
111	1825	7416
112	1841	7400
113	1855	7372
114	1869	7346
115	1882	7317
116	1894	7288
117	1905	7252
118	1920	7230
119	1933	7202
120	1944	7167
121	1963	7162
122	1981	7154
123	1996	7131
124	2007	7099
125	2021	7076
126	2036	7054
127	2051	7034
128	2066	7015
129	2082	6999
130	2101	6994
131	2115	6972
132	2133	6962
133	2152	6954
134	2166	6933
135	2179	6907
136	2192	6883
137	2208	6865
138	2219	6833
139	2231	6805
140	2252	6804
141	2267	6785
142	2289	6787
143	2305	6772
144	2320	6754
145	2342	6753
146	2361	6746
147	2380	6740
148	2400	6733
149	2418	6723
150	2430	6694
151	2445	6676
152	2465	6670
153	2479	6650
154	2492	6624
155	2505	6601
156	2521	6585
157	2536	6564
158	2555	6557
159	2575	6551
160	2586	6521
161	2597	6494
162	2612	6475
163	2632	6469
164	2652	6461
165	2673	6458
166	2692	6449
167	2711	6438
168	2731	6433
169	2752	6428
170	2770	6416
171	2790	6408
172	2805	6388
173	2821	6371
174	2839	6360
175	2860	6355
176	2880	6346
177	2899	6336
178	2918	6327
179	2932	6304
180	2951	6295
181	2969	6281
182	2986	6265
183	3006	6258
184	3021	6238
185	3038	6223
186	3053	6204
187	3071	6191
188	3087	6174
189	3103	6157
190	3118	6139
191	3134	6122
192	3156	6117
193	3173	6101
194	3190	6086
195	3209	6075
196	3227	6062
197	3241	6040
198	3260	6028
199	3273	6007
200	3292	5995
201	3310	5981
202	3323	5959
203	3339	5942
204	3353	5921
205	3364	5895
206	3379	5877
207	3398	5866
208	3419	5857
209	3437	5844
210	3450	5821
211	3469	5809
212	3481	5786
213	3500	5774
